0.000000, -1.#IND00, -1.#IND00, 1.000000
0.100000, -2.000000, 0.000000, 1.000000
0.200000, -2.000000, -0.000000, 1.000000
0.300000, -2.000000, 0.000000, 1.000000
0.400000, -2.000000, 0.000001, 1.000000
0.500000, -1.999999, 0.000029, 1.000000
0.600000, -1.999987, 0.000290, 0.999997
0.700000, -1.999912, 0.001442, 0.999978
0.800000, -1.999629, 0.004681, 0.999907
0.900000, -1.998856, 0.011501, 0.999711
1.000000, -1.997160, 0.023380, 0.999276
1.100000, -1.993969, 0.041588, 0.998447
1.200000, -1.988597, 0.067167, 0.997026
1.300000, -1.980260, 0.101008, 0.994772
1.400000, -1.968090, 0.144012, 0.991387
1.500000, -1.951117, 0.197275, 0.986500
1.600000, -1.928242, 0.262354, 0.979622
1.700000, -1.898173, 0.341667, 0.970078
1.800000, -1.859304, 0.439218, 0.956857
1.900000, -1.809490, 0.562165, 0.938304
2.000000, -1.745565, 0.724871, 0.911319
2.100000, -1.662082, 0.962735, 0.868748
2.200000, -1.546489, 1.414278, 0.784755
2.300000, -1.342866, 1.822369, 0.000000
2.400000, -1.203974, 1.123034, 0.000000
2.500000, -1.106079, 0.861698, 0.000000
2.600000, -1.028294, 0.704858, 0.000000
2.700000, -0.963532, 0.596197, 0.000000
2.800000, -0.908142, 0.515221, 0.000000
2.900000, -0.859897, 0.452107, 0.000000
3.000000, -0.817310, 0.401380, 0.000000
3.100000, -0.779322, 0.359675, 0.000000
3.200000, -0.745148, 0.324784, 0.000000
3.300000, -0.714189, 0.295181, 0.000000
3.400000, -0.685973, 0.269773, 0.000000
3.500000, -0.660122, 0.247752, 0.000000
3.600000, -0.636330, 0.228506, 0.000000
3.700000, -0.614344, 0.211563, 0.000000
3.800000, -0.593953, 0.196550, 0.000000
3.900000, -0.574979, 0.183172, 0.000000
4.000000, -0.557272, 0.171188, 0.000000
4.100000, -0.540702, 0.160405, 0.000000
4.200000, -0.525157, 0.150660, 0.000000
4.300000, -0.510540, 0.141819, 0.000000
4.400000, -0.496766, 0.133771, 0.000000
4.500000, -0.483762, 0.126419, 0.000000
4.600000, -0.471462, 0.119683, 0.000000
4.700000, -0.459808, 0.113494, 0.000000
4.800000, -0.448747, 0.107792, 0.000000
4.900000, -0.438235, 0.102526, 0.000000
5.000000, -0.428229, 0.097652, 0.000000
5.100000, -0.418692, 0.093130, 0.000000
5.200000, -0.409592, 0.088927, 0.000000
5.300000, -0.400897, 0.085012, 0.000000
5.400000, -0.392581, 0.081359, 0.000000
5.500000, -0.384618, 0.077944, 0.000000
5.600000, -0.376985, 0.074747, 0.000000
5.700000, -0.369662, 0.071749, 0.000000
5.800000, -0.362629, 0.068934, 0.000000
5.900000, -0.355869, 0.066286, 0.000000
6.000000, -0.349367, 0.063792, 0.000000
6.100000, -0.343106, 0.061440, 0.000000
6.200000, -0.337074, 0.059220, 0.000000
6.300000, -0.331258, 0.057122, 0.000000
6.400000, -0.325646, 0.055136, 0.000000
6.500000, -0.320227, 0.053255, 0.000000
6.600000, -0.314992, 0.051471, 0.000000
6.700000, -0.309930, 0.049777, 0.000000
6.800000, -0.305034, 0.048168, 0.000000
6.900000, -0.300294, 0.046637, 0.000000
7.000000, -0.295704, 0.045180, 0.000000
7.100000, -0.291256, 0.043792, 0.000000
7.200000, -0.286943, 0.042469, 0.000000
7.300000, -0.282760, 0.041205, 0.000000
7.400000, -0.278700, 0.039999, 0.000000
7.500000, -0.274758, 0.038846, 0.000000
7.600000, -0.270929, 0.037743, 0.000000
7.700000, -0.267208, 0.036688, 0.000000
7.800000, -0.263590, 0.035677, 0.000000
7.900000, -0.260071, 0.034708, 0.000000
8.000000, -0.256647, 0.033779, 0.000000
8.100000, -0.253314, 0.032887, 0.000000
8.200000, -0.250069, 0.032031, 0.000000
8.300000, -0.246907, 0.031209, 0.000000
8.400000, -0.243826, 0.030418, 0.000000
8.500000, -0.240822, 0.029658, 0.000000
8.600000, -0.237894, 0.028926, 0.000000
8.700000, -0.235036, 0.028221, 0.000000
8.800000, -0.232248, 0.027543, 0.000000
