0; -1.#IND00; -1.#IND00;1;;0;-1.99016; 1.#INF00;-19.637713;0;0.98188565
0.1;-2;0;1;;0.4;-1.989433;14.021596;-19.592959;0.0018175;0.97964795
0.2;-2;0;1;;0.8;-1.938646;9.45571;17.218551;0.1269675;0.86092755
0.3;-2;0;1;;1.2;-1.973997;2.036219;-19.31559;-0.0883775;0.9657795
0.4;-2;0.000001;1;;1.6;-1.917401;1.450213;-19.349636;0.14149;0.9674818
0.5;-1.999999;0.000029;1;;2;-1.725406;1.495424;17.632697;0.4799875;0.88163485
0.6;-1.999987;0.00029;0.999997;;2.4;-1.226906;1.225604;5.77497;1.24625;0.2887485
0.7;-1.999912;0.001442;0.999978;;2.8;-0.912252;0.541369;1.128137;0.786635;0.05640685
0.8;-1.999629;0.004681;0.999907;;3.2;-0.748922;0.331915;-0.186467;0.408325;0.00932335
0.9;-1.998856;0.011501;0.999711;;3.6;-0.634692;0.222599;0.19831;0.285575;0.0099155
1;-1.99716;0.02338;0.999276;;4;-0.559483;0.167126;0.228626;0.1880225;0.0114313
1.1;-1.993969;0.041588;0.998447;;4.4;-0.496387;0.131089;0.056626;0.15774;0.0028313
1.2;-1.988597;0.067167;0.997026;;4.8;-0.45178;0.112443;0.052379;0.1115175;0.00261895
1.3;-1.98026;0.101008;0.994772;;5.2;-0.413299;0.090208;0.185172;0.0962025;0.0092586
1.4;-1.96809;0.144012;0.991387;;5.6;-0.375709;0.075114;-0.018487;0.093975;0.00092435
1.5;-1.951117;0.197275;0.9865;;6;-0.351459;0.063517;-0.065777;0.060625;0.00328885
1.6;-1.928242;0.262354;0.979622;;6.4;-0.323325;0.052912;-0.022694;0.070335;0.0011347
1.7;-1.898173;0.341667;0.970078;;6.8;-0.304862;0.049564;0.047346;0.0461575;0.0023673
1.8;-1.859304;0.439218;0.956857;;7.2;-0.288401;0.042135;-0.004461;0.0411525;0.00022305
1.9;-1.80949;0.562165;0.938304;;7.6;-0.271053;0.037715;0.011074;0.04337;0.0005537
2;-1.745565;0.724871;0.911319;0.001449742;8;-0.258536;0.035242;-0.032165;0.0312925;0.00160825
2.1;-1.662082;0.962735;0.868748;;8.4;-0.244547;0.030864;-0.000361;0.0349725;0.00001805
2.2;-1.546489;1.414278;0.784755;;8.8;-0.231996;0.027452;-0.01148;0.0313775;0.000574
2.3;-1.342866;1.822369;0;;9.2;-0.219831;0.025599;-0.095131;0.0304125;0.00475655
2.4;-1.203974;1.123034;0;;9.6;-0.212896;0.022744;-0.019535;0.0173375;0.00097675
2.5;-1.106079;0.861698;0;;10;-0.202856;0.021132;-0.046057;0.0251;0.00230285
2.6;-1.028294;0.704858;0;;10.4;-0.195291;0.019512;0.01213;0.0189125;0.0006065
2.7;-0.963532;0.596197;0;;10.8;-0.186694;0.017818;0.004838;0.0214925;0.0002419
2.8;-0.908142;0.515221;0;;11.2;-0.179598;0.016926;-0.017672;0.01774;0.0008836
2.9;-0.859897;0.452107;0;;11.6;-0.175378;0.015994;0.008895;0.01055;0.00044475
3;-0.81731;0.40138;0;;12;-0.167601;0.014465;0.00846;0.0194425;0.000423
3.1;-0.779322;0.359675;0;;12.4;-0.163138;0.013392;0.029714;0.0111575;0.0014857
3.2;-0.745148;0.324784;0;;12.8;-0.157038;0.012811;0.010906;0.01525;0.0005453
3.3;-0.714189;0.295181;0;;13.2;-0.15047;0.011251;0.036316;0.01642;0.0018158
3.4;-0.685973;0.269773;0;;13.6;-0.147549;0.010939;0.036046;0.0073025;0.0018023
3.5;-0.660122;0.247752;0;;14;-0.143093;0.010402;0.05521;0.01114;0.0027605
3.6;-0.63633;0.228506;0;;14.4;-0.13944;0.00944;-0.028646;0.0091325;0.0014323
3.7;-0.614344;0.211563;0;;14.8;-0.135649;0.00934;0.03994;0.0094775;0.001997
3.8;-0.593953;0.19655;0;;15.2;-0.132906;0.00893;0.008143;0.0068575;0.00040715
3.9;-0.574979;0.183172;0;;15.6;-0.13057;0.008522;0.00877;0.00584;0.0004385
4;-0.557272;0.171188;0;;16;-0.126192;0.007895;0.015654;0.010945;0.0007827
4.1;-0.540702;0.160405;0;;16.4;-0.120727;0.007837;-0.021273;0.0136625;0.00106365
4.2;-0.525157;0.15066;0;;16.8;-0.120162;0.007453;0.00502;0.0014125;0.000251
4.3;-0.51054;0.141819;0;;17.2;-0.118069;0.007103;0.015387;0.0052325;0.00076935
4.4;-0.496766;0.133771;0;;17.6;-0.115226;0.006495;-0.017801;0.0071075;0.00089005
4.5;-0.483762;0.126419;0;;18;-0.110672;0.006421;-0.021542;0.011385;0.0010771
4.6;-0.471462;0.119683;0;;18.4;-0.110162;0.005962;-0.04312;0.001275;0.002156
4.7;-0.459808;0.113494;0;;18.8;-0.107343;0.00561;0.023644;0.0070475;0.0011822
4.8;-0.448747;0.107792;0;;19.2;-0.102462;0.005411;0.002349;0.0122025;0.00011745
4.9;-0.438235;0.102526;0;;19.6;-0.10266;0.005265;0.038077;-0.000495;0.00190385
5;-0.428229;0.097652;0;;20;-0.101515;0.004957;0.005897;0.0028625;0.00029485
5.1;-0.418692;0.09313;0;;;;;;;
