Courses;Universities;Country;Comments;Choice
PC Based DAQ in Fluid Dynamics and Thermodynamics (CTU10) ;CTU10;Czech Republic;nice;Yes
Sports, Building and City Aerodynamics (KUL27) ;KUL27;Belgium;meh;No
Flow Simulation in Turbomachinery (TUW16BIP) ;TUW16BIP;Austria;not bad;
Metrology of Electrical Quantities (CTU01) ;CTU01;Czech Republic;meh;
Design Sprint (CTU04) ;CTU04;Czech Republic;;
Game Theory (CTU08) ;CTU08;Czech Republic;;
Introduction to Lean Six Sigma Management (CTU12) ;CTU12;Czech Republic;;
Company Crisis (CTU13) ;CTU13;Czech Republic;;
Digital Signal and Image Processing with Applications (CTU15) ;CTU15;Czech Republic;;
Environmental Technology (CTU16) ;CTU16;Czech Republic;;
Geometrical Aspects of Spectral Theory (CTU22) ;CTU22;Czech Republic;;
Publicly owned private spaces (POPS) in Prague - BIP (CTU24BIP) ;CTU24 BIP;Czech Republic;;
3D Measuring Methods in Transportation (CTU25);CTU25;Czech Republic;;
Biodépollution (AGROPT02) ;AGROPT02;France;;No
Bioraffinerie : nouvelles stratégies d'utilisation du végétal (AGROPT03) ;AGROPT03;France;;No
Changement climatique - enjeux d'une transition vers une... (AGROPT04) ;AGROPT04;France;;No
Gérer l'eau : problématiques régionales et planétaires (AGROPT11) ;AGROPT11;France;;No
Les enjeux de l'embryon (AGROPT15) ;AGROPT15;France;;No
Les marchés financiers (AGROPT16) ;AGROPT16;France;;No
Neurones: des modèles à la conscience (AGROPT21) ;AGROPT21;France;;No
Animals in Science: Today's Challenges (AGROPT22) ;AGROPT22;France;;No
Nutrition en Conditions Extrêmes (AGROPT23) ;AGROPT23;France;;No
Politique agricole en Europe et aux Etats-Unis. Evolution et... (AGROPT24) ;AGROPT24;France;;No
Sciences citoyennes. Quand les citoyens produisent du savoir (AGROPT29) ;AGROPT29;France;;No
Modélisation moléculaire (AGROPT30) ;AGROPT30;France;;No
RecycleMyPhone (CPT2) ;CPT2;France;;No
